State,Nutrient,Application,Code,Total
VT,Phosphorus,FarmFertilizer,FF,1388864
VT,Phosphorus,NonfarmFertilizer,NFF,34683
VT,Phosphorus,UnconfinedLivestock,UCL,751878
WA,Nitrogen,Atmospheric,A,17556771
WA,Nitrogen,ConfinedLivestock,CL,34601328
WA,Nitrogen,FarmFertilizer,FF,184703624
WA,Nitrogen,NonfarmFertilizer,NFF,1436254
WA,Nitrogen,UnconfinedLivestock,UCL,34792389
WA,Phosphorus,ConfinedLivestock,CL,8010686
WA,Phosphorus,FarmFertilizer,FF,18562828
WA,Phosphorus,NonfarmFertilizer,NFF,162962
WA,Phosphorus,UnconfinedLivestock,UCL,9881400
WI,Nitrogen,Atmospheric,A,63015168
WI,Nitrogen,ConfinedLivestock,CL,174241813
WI,Nitrogen,FarmFertilizer,FF,239550297
WI,Nitrogen,NonfarmFertilizer,NFF,4886302
WI,Nitrogen,UnconfinedLivestock,UCL,61672703
WI,Phosphorus,ConfinedLivestock,CL,33573185
WI,Phosphorus,FarmFertilizer,FF,51689203
WI,Phosphorus,NonfarmFertilizer,NFF,726898
WI,Phosphorus,UnconfinedLivestock,UCL,15117096
WV,Nitrogen,Atmospheric,A,31213624
WV,Nitrogen,ConfinedLivestock,CL,6518256
WV,Nitrogen,FarmFertilizer,FF,11627415
WV,Nitrogen,NonfarmFertilizer,NFF,379794
WV,Nitrogen,UnconfinedLivestock,UCL,16922436
WV,Phosphorus,ConfinedLivestock,CL,1752604
WV,Phosphorus,FarmFertilizer,FF,4411761
WV,Phosphorus,NonfarmFertilizer,NFF,150783
WV,Phosphorus,UnconfinedLivestock,UCL,5159308
WY,Nitrogen,Atmospheric,A,26744789
WY,Nitrogen,ConfinedLivestock,CL,7491595
WY,Nitrogen,FarmFertilizer,FF,14413337
WY,Nitrogen,NonfarmFertilizer,NFF,114331
WY,Nitrogen,UnconfinedLivestock,UCL,66408133
WY,Phosphorus,ConfinedLivestock,CL,2053183
WY,Phosphorus,FarmFertilizer,FF,1738684
WY,Phosphorus,NonfarmFertilizer,NFF,8100
WY,Phosphorus,UnconfinedLivestock,UCL,19513467
